#id;characters;meanings;firstReading;readings;partsOfSpeech;level;url
2554;女王;Queen;じょおう;じょおう;noun, suffix;2;https://www.wanikani.com/vocabulary/%E5%A5%B3%E7%8E%8B
2580;田;Rice Field, Rice Paddy;た;た;noun;2;https://www.wanikani.com/vocabulary/%E7%94%B0
2559;右;Right Direction, Right;みぎ;みぎ;noun;2;https://www.wanikani.com/vocabulary/%E5%8F%B3
2534;円い;Round, Circular;まるい;まるい;い adjective;2;https://www.wanikani.com/vocabulary/%E5%86%86%E3%81%84
7515;二日;Second Day, Day Two, Two Days;ふつか;ふつか;noun;2;https://www.wanikani.com/vocabulary/%E4%BA%8C%E6%97%A5
7562;七日;Seventh Day, Day Seven, Seven Days;なのか;なのか;noun;2;https://www.wanikani.com/vocabulary/%E4%B8%83%E6%97%A5
2531;六;Six;ろく;ろく;numeral;2;https://www.wanikani.com/vocabulary/%E5%85%AD
2527;六つ;Six Things;むっつ;むっつ;numeral;2;https://www.wanikani.com/vocabulary/%E5%85%AD%E3%81%A4
2530;十六;Sixteen;じゅうろく;じゅうろく;numeral;2;https://www.wanikani.com/vocabulary/%E5%8D%81%E5%85%AD
2529;六日;Sixth Day, Day Six, Six Days;むいか;むいか;noun;2;https://www.wanikani.com/vocabulary/%E5%85%AD%E6%97%A5
2515;小さい;Small, Little;ちいさい;ちいさい;い adjective;2;https://www.wanikani.com/vocabulary/%E5%B0%8F%E3%81%95%E3%81%84
2508;土;Soil, Earth, Ground, Dirt;つち;つち;noun;2;https://www.wanikani.com/vocabulary/%E5%9C%9F
2541;日;Sun, Day;ひ;ひ;noun;2;https://www.wanikani.com/vocabulary/%E6%97%A5
2507;刀;Sword, Katana;かたな;かたな;noun;2;https://www.wanikani.com/vocabulary/%E5%88%80
7616;十日;Ten Days, Day Ten, Tenth Day;とおか;とおか;noun;2;https://www.wanikani.com/vocabulary/%E5%8D%81%E6%97%A5
7563;三日;Third Day, Day Three, Three Days;みっか;みっか;noun;2;https://www.wanikani.com/vocabulary/%E4%B8%89%E6%97%A5
2509;千;Thousand;せん;せん;numeral;2;https://www.wanikani.com/vocabulary/%E5%8D%83
2492;上る;To Climb, To Go Up;のぼる;のぼる;intransitive verb, godan verb;2;https://www.wanikani.com/vocabulary/%E4%B8%8A%E3%82%8B
2572;正す;To Correct;ただす;ただす;transitive verb, godan verb;2;https://www.wanikani.com/vocabulary/%E6%AD%A3%E3%81%99
2557;出る;To Exit, To Leave, To Attend, To Come Out, To Go Out;でる;でる;intransitive verb, ichidan verb;2;https://www.wanikani.com/vocabulary/%E5%87%BA%E3%82%8B
2586;立つ;To Stand, To Stand Up, To Rise;たつ;たつ;intransitive verb, godan verb;2;https://www.wanikani.com/vocabulary/%E7%AB%8B%E3%81%A4
2546;木;Tree, Wood;き;き;noun;2;https://www.wanikani.com/vocabulary/%E6%9C%A8
7728;水中;Underwater;すいちゅう;すいちゅう;noun, の adjective;2;https://www.wanikani.com/vocabulary/%E6%B0%B4%E4%B8%AD
