#id;characters;meanings;onyomi;kunyomi;nanori;importantReading;level;url
692;馬;Horse;バ;うま;;onyomi;8;https://www.wanikani.com/kanji/%E9%A6%AC
701;間;Interval, Interval of Time, Interval of Space;カン, ケン;あいだ, ま;;onyomi;8;https://www.wanikani.com/kanji/%E9%96%93
694;場;Location, Place;ジョウ;ば;;onyomi;8;https://www.wanikani.com/kanji/%E5%A0%B4
681;医;Medicine;イ;;;onyomi;8;https://www.wanikani.com/kanji/%E5%8C%BB
695;朝;Morning;チョウ;あさ;;kunyomi;8;https://www.wanikani.com/kanji/%E6%9C%9D
696;番;Number In A Series, Turn, Ordinal Number;バン;;;onyomi;8;https://www.wanikani.com/kanji/%E7%95%AA
707;所;Place;ショ;ところ;;onyomi;8;https://www.wanikani.com/kanji/%E6%89%80
573;池;Pond;チ;いけ;;onyomi;8;https://www.wanikani.com/kanji/%E6%B1%A0
688;究;Research;キュウ;きわ;;onyomi;8;https://www.wanikani.com/kanji/%E7%A9%B6
700;道;Road, Street, Path, Way;ドウ;みち;;onyomi;8;https://www.wanikani.com/kanji/%E9%81%93
685;役;Service, Duty;ヤク;;;onyomi;8;https://www.wanikani.com/kanji/%E5%BD%B9
691;研;Sharpen;ケン;と;;onyomi;8;https://www.wanikani.com/kanji/%E7%A0%94
689;身;Somebody, Someone, Body;シン;み;;onyomi;8;https://www.wanikani.com/kanji/%E8%BA%AB
690;者;Someone, Somebody;シャ;もの;;onyomi;8;https://www.wanikani.com/kanji/%E8%80%85
678;支;Support, Branch;シ;ささ;;onyomi;8;https://www.wanikani.com/kanji/%E6%94%AF
705;話;Talk, Speak;ワ;はな, はなし;;onyomi;8;https://www.wanikani.com/kanji/%E8%A9%B1
686;投;Throw;トウ;な;;onyomi;8;https://www.wanikani.com/kanji/%E6%8A%95
683;対;Versus, Opposite;タイ;;;onyomi;8;https://www.wanikani.com/kanji/%E5%AF%BE
711;受;Accept, Receive;ジュ;う;;onyomi;9;https://www.wanikani.com/kanji/%E5%8F%97
708;事;Action, Matter, Thing;ジ;こと, つか;;onyomi;9;https://www.wanikani.com/kanji/%E4%BA%8B
732;美;Beauty, Beautiful;ビ, ミ;うつく;;onyomi;9;https://www.wanikani.com/kanji/%E7%BE%8E
854;予;Beforehand;ヨ;あらかじ;;onyomi;9;https://www.wanikani.com/kanji/%E4%BA%88
716;服;Clothes, Clothing;フク;;;onyomi;9;https://www.wanikani.com/kanji/%E6%9C%8D
725;度;Degrees, Occurrence;ド, タク;たび;;onyomi;9;https://www.wanikani.com/kanji/%E5%BA%A6
729;発;Departure;ハツ;;;onyomi;9;https://www.wanikani.com/kanji/%E7%99%BA
714;定;Determine;テイ, ジョウ;さだ;;onyomi;9;https://www.wanikani.com/kanji/%E5%AE%9A
736;談;Discuss;ダン;;;onyomi;9;https://www.wanikani.com/kanji/%E8%AB%87
720;表;Express;ヒョウ;あらわ, おもて;;onyomi;9;https://www.wanikani.com/kanji/%E8%A1%A8
723;客;Guest, Customer;キャク;;;onyomi;9;https://www.wanikani.com/kanji/%E5%AE%A2
735;重;Heavy;ジュウ, チョウ;おも, かさ, え;;onyomi;9;https://www.wanikani.com/kanji/%E9%87%8D
727;持;Hold;ジ;も;;onyomi;9;https://www.wanikani.com/kanji/%E6%8C%81
733;負;Lose;フ;ま, お;;onyomi;9;https://www.wanikani.com/kanji/%E8%B2%A0
730;相;Mutual;ソウ, ショウ;あい;;onyomi;9;https://www.wanikani.com/kanji/%E7%9B%B8
737;要;Need;ヨウ;い, かなめ;;onyomi;9;https://www.wanikani.com/kanji/%E8%A6%81
857;新;New;シン;あたら, あら, にい;;onyomi;9;https://www.wanikani.com/kanji/%E6%96%B0
721;部;Part, Department, Club;ブ;へ;;onyomi;9;https://www.wanikani.com/kanji/%E9%83%A8
712;和;Peace, Japanese Style;ワ, オ;なご, やわ;かず, より;onyomi;9;https://www.wanikani.com/kanji/%E5%92%8C
731;県;Prefecture;ケン;;;onyomi;9;https://www.wanikani.com/kanji/%E7%9C%8C
983;保;Preserve, Guarantee;ホ;たも;;onyomi;9;https://www.wanikani.com/kanji/%E4%BF%9D
858;返;Return;ヘン;かえ;;onyomi;9;https://www.wanikani.com/kanji/%E8%BF%94
722;乗;Ride;ジョウ;の;;kunyomi;9;https://www.wanikani.com/kanji/%E4%B9%97
724;屋;Roof, Shop, Store;オク;や;;kunyomi;9;https://www.wanikani.com/kanji/%E5%B1%8B
587;売;Sell;バイ;う;;onyomi;9;https://www.wanikani.com/kanji/%E5%A3%B2
734;送;Send;ソウ;おく;;onyomi;9;https://www.wanikani.com/kanji/%E9%80%81
719;苦;Suffering;ク;くる, にが;;onyomi;9;https://www.wanikani.com/kanji/%E8%8B%A6
717;泳;Swim;エイ;およ;;kunyomi;9;https://www.wanikani.com/kanji/%E6%B3%B3
739;仮;Temporary;カ;かり;;onyomi;9;https://www.wanikani.com/kanji/%E4%BB%AE
1048;験;Test;ケン;ため, ためし;;onyomi;9;https://www.wanikani.com/kanji/%E9%A8%93
